i,j,path1,path2,embedding_distance
314,595,images/image_381.jpg,images/image_95.jpg,2.6404857635498047e-05
134,456,images/image_219.jpg,images/image_509.jpg,2.664327621459961e-05
66,382,images/image_158.jpg,images/image_442.jpg,2.6702880859375e-05
281,445,images/image_351.jpg,images/image_5.jpg,2.682209014892578e-05
12,150,images/image_109.jpg,images/image_233.jpg,2.7060508728027344e-05
326,329,images/image_392.jpg,images/image_395.jpg,2.7060508728027344e-05
75,114,images/image_166.jpg,images/image_200.jpg,2.7358531951904297e-05
362,567,images/image_424.jpg,images/image_7.jpg,2.759695053100586e-05
295,571,images/image_364.jpg,images/image_73.jpg,2.8252601623535156e-05
66,286,images/image_158.jpg,images/image_356.jpg,2.8371810913085938e-05
295,298,images/image_364.jpg,images/image_367.jpg,2.8371810913085938e-05
441,595,images/image_496.jpg,images/image_95.jpg,2.872943878173828e-05
104,454,images/image_192.jpg,images/image_507.jpg,2.8908252716064453e-05
13,287,images/image_11.jpg,images/image_357.jpg,2.944469451904297e-05
12,182,images/image_109.jpg,images/image_262.jpg,2.950429916381836e-05
243,474,images/image_317.jpg,images/image_525.jpg,2.962350845336914e-05
202,278,images/image_280.jpg,images/image_349.jpg,2.9981136322021484e-05
389,490,images/image_449.jpg,images/image_54.jpg,3.0159950256347656e-05
75,272,images/image_166.jpg,images/image_343.jpg,3.069639205932617e-05
227,434,images/image_302.jpg,images/image_49.jpg,3.129243850708008e-05
25,169,images/image_120.jpg,images/image_250.jpg,3.1828880310058594e-05
360,516,images/image_422.jpg,images/image_563.jpg,3.1828880310058594e-05
255,574,images/image_328.jpg,images/image_76.jpg,3.236532211303711e-05
171,179,images/image_252.jpg,images/image_26.jpg,3.2901763916015625e-05
235,346,images/image_31.jpg,images/image_41.jpg,3.314018249511719e-05
173,516,images/image_254.jpg,images/image_563.jpg,3.361701965332031e-05
394,516,images/image_453.jpg,images/image_563.jpg,3.403425216674805e-05
278,515,images/image_349.jpg,images/image_562.jpg,3.427267074584961e-05
76,319,images/image_167.jpg,images/image_386.jpg,3.4332275390625e-05
130,472,images/image_215.jpg,images/image_523.jpg,3.445148468017578e-05
173,394,images/image_254.jpg,images/image_453.jpg,3.4689903259277344e-05
298,344,images/image_367.jpg,images/image_408.jpg,3.49879264831543e-05
64,99,images/image_156.jpg,images/image_188.jpg,3.504753112792969e-05
344,571,images/image_408.jpg,images/image_73.jpg,3.504753112792969e-05
35,550,images/image_13.jpg,images/image_594.jpg,3.540515899658203e-05
45,479,images/image_139.jpg,images/image_53.jpg,3.540515899658203e-05
96,368,images/image_185.jpg,images/image_43.jpg,3.5762786865234375e-05
150,182,images/image_233.jpg,images/image_262.jpg,3.5762786865234375e-05
114,227,images/image_200.jpg,images/image_302.jpg,3.594160079956055e-05
375,485,images/image_436.jpg,images/image_535.jpg,3.600120544433594e-05
23,283,images/image_119.jpg,images/image_353.jpg,3.606081008911133e-05
65,173,images/image_157.jpg,images/image_254.jpg,3.635883331298828e-05
274,448,images/image_345.jpg,images/image_501.jpg,3.635883331298828e-05
382,404,images/image_442.jpg,images/image_462.jpg,3.641843795776367e-05
173,507,images/image_254.jpg,images/image_555.jpg,3.647804260253906e-05
156,434,images/image_239.jpg,images/image_49.jpg,3.6716461181640625e-05
128,174,images/image_213.jpg,images/image_255.jpg,3.725290298461914e-05
279,499,images/image_35.jpg,images/image_548.jpg,3.743171691894531e-05
543,558,images/image_588.jpg,images/image_61.jpg,3.7789344787597656e-05
188,198,images/image_268.jpg,images/image_277.jpg,3.790855407714844e-05
128,544,images/image_213.jpg,images/image_589.jpg,3.796815872192383e-05
351,518,images/image_414.jpg,images/image_565.jpg,3.820657730102539e-05
59,488,images/image_151.jpg,images/image_538.jpg,3.838539123535156e-05
351,589,images/image_414.jpg,images/image_9.jpg,3.910064697265625e-05
45,50,images/image_139.jpg,images/image_143.jpg,3.927946090698242e-05
248,554,images/image_321.jpg,images/image_598.jpg,3.9517879486083984e-05
79,347,images/image_17.jpg,images/image_410.jpg,3.9637088775634766e-05
222,227,images/image_299.jpg,images/image_302.jpg,3.975629806518555e-05
75,434,images/image_166.jpg,images/image_49.jpg,3.999471664428711e-05
173,360,images/image_254.jpg,images/image_422.jpg,4.029273986816406e-05
373,462,images/image_434.jpg,images/image_514.jpg,4.0471553802490234e-05
125,285,images/image_210.jpg,images/image_355.jpg,4.0531158447265625e-05
203,470,images/image_281.jpg,images/image_521.jpg,4.07099723815918e-05
227,272,images/image_302.jpg,images/image_343.jpg,4.088878631591797e-05
328,543,images/image_394.jpg,images/image_588.jpg,4.1604042053222656e-05
171,501,images/image_252.jpg,images/image_55.jpg,4.184246063232422e-05
45,219,images/image_139.jpg,images/image_296.jpg,4.220008850097656e-05
373,495,images/image_434.jpg,images/image_544.jpg,4.220008850097656e-05
19,281,images/image_115.jpg,images/image_351.jpg,4.225969314575195e-05
45,555,images/image_139.jpg,images/image_599.jpg,4.225969314575195e-05
222,272,images/image_299.jpg,images/image_343.jpg,4.2319297790527344e-05
83,450,images/image_173.jpg,images/image_503.jpg,4.279613494873047e-05
152,274,images/image_235.jpg,images/image_345.jpg,4.291534423828125e-05
127,532,images/image_212.jpg,images/image_578.jpg,4.3451786041259766e-05
114,272,images/image_200.jpg,images/image_343.jpg,4.3511390686035156e-05
114,222,images/image_200.jpg,images/image_299.jpg,4.357099533081055e-05
13,365,images/image_11.jpg,images/image_427.jpg,4.363059997558594e-05
87,259,images/image_177.jpg,images/image_331.jpg,4.363059997558594e-05
117,569,images/image_203.jpg,images/image_71.jpg,4.38690185546875e-05
440,491,images/image_495.jpg,images/image_540.jpg,4.4226646423339844e-05
179,242,images/image_26.jpg,images/image_316.jpg,4.4465065002441406e-05
6,283,images/image_103.jpg,images/image_353.jpg,4.464387893676758e-05
405,582,images/image_463.jpg,images/image_83.jpg,4.482269287109375e-05
240,574,images/image_314.jpg,images/image_76.jpg,4.5359134674072266e-05
125,267,images/image_210.jpg,images/image_339.jpg,4.559755325317383e-05
242,501,images/image_316.jpg,images/image_55.jpg,4.559755325317383e-05
156,227,images/image_239.jpg,images/image_302.jpg,4.571676254272461e-05
269,326,images/image_340.jpg,images/image_392.jpg,4.655122756958008e-05
361,527,images/image_423.jpg,images/image_573.jpg,4.661083221435547e-05
18,206,images/image_114.jpg,images/image_284.jpg,4.673004150390625e-05
353,429,images/image_416.jpg,images/image_485.jpg,4.750490188598633e-05
116,535,images/image_202.jpg,images/image_580.jpg,4.76837158203125e-05
332,407,images/image_398.jpg,images/image_465.jpg,4.774332046508789e-05
